Q,A,label
가장 좋아하는 베라맛이 뭐야?,민트초코,0.0
가장 좋아하는 베라맛이 뭐야?,베라 싫어해,0.0
가장 좋아하는 베라맛이 뭐야?,아무거나 먹어,0.0
가장 좋아하는 베라맛이 뭐야?,블랙 소르베,0.0
전화나 문자 중 뭐가 더 좋아?,둘다 상관없어,0.0
전화나 문자 중 뭐가 더 좋아?,전화가 더 나은것 같아,0.0
전화나 문자 중 뭐가 더 좋아?,문자가 더 나아,0.0
전화나 문자 중 뭐가 더 좋아?,둘다 별로야,0.0
전화나 문자 중 뭐가 더 좋아?,사람마다 달라,0.0
스트레스 풀때 어떻게 풀어?,매운음식 먹으면서 풀어,0.0
스트레스 풀때 어떻게 풀어?,하루중일 자면서 잊으려고 해,0.0
스트레스 풀때 어떻게 풀어?,멍떄리면서 아무생각 안해,0.0
스트레스 풀때 어떻게 풀어?,난 스트레스 안받아!,0.0
스트레스 풀때 어떻게 풀어?,친구들이랑 놀면서 풀어,0.0
좌우명이 뭐야?,착하게 살자,0.0
좌우명이 뭐야?,바르게 살자,0.0
좌우명이 뭐야?,You Only Live Once,0.0
좌우명이 뭐야?,딱히 없어,0.0
좌우명이 뭐야?,맨날 바껴,0.0
휴대폰 카메라 어플 뭐써?,스노우 써!,0.0
휴대폰 카메라 어플 뭐써?,B612 써,0.0
휴대폰 카메라 어플 뭐써?,소다 써,0.0
휴대폰 카메라 어플 뭐써?,기본 카메라 써,0.0
휴대폰 카메라 어플 뭐써?,음 상관없어,0.0
가지고 있는거 중에 가장 비싼게 뭐야?,내 아이폰!,0.0
가지고 있는거 중에 가장 비싼게 뭐야?,맥북,0.0
가지고 있는거 중에 가장 비싼게 뭐야?,나의 명품지갑이 제일 비싸지,0.0
가지고 있는거 중에 가장 비싼게 뭐야?,내 물건은 다 싸,0.0
가지고 있는거 중에 가장 비싼게 뭐야?,음 생각 안나,0.0
내가 가지고 있는거 중에 제일 오래된 것은?,꿀꿀이 인형 초등학교때부터 가지고 있었어,0.0
내가 가지고 있는거 중에 제일 오래된 것은?,비밀이야!,0.0
내가 가지고 있는거 중에 제일 오래된 것은?,보물상자 속에 들어있어! 나중에 보여줄까?,0.0
내가 가지고 있는거 중에 제일 오래된 것은?,생각이 안나. 그런게 있나?,0.0
내가 가지고 있는거 중에 제일 오래된 것은?,그런거 없어,0.0
내가 얼굴 중 가장 이쁜 곳은?,눈이 말똥말똥해서 이뻐,0.0
내가 얼굴 중 가장 이쁜 곳은?,코가 오똑해서 최고야,0.0
내가 얼굴 중 가장 이쁜 곳은?,입이 두툼해서 이뻐,0.0
내가 얼굴 중 가장 이쁜 곳은?,광대가 귀여워,0.0
내가 얼굴 중 가장 이쁜 곳은?,전체적으로 다 이쁘지,0.0
내가 얼굴 중 가장 이쁜 곳은?,난 이쁜게 없어,0.0
가장 아끼는 물건이 뭐야?,맥북 제일 소중해,0.0
가장 아끼는 물건이 뭐야?,아이폰,0.0
가장 아끼는 물건이 뭐야?,엄마가 사준 시계,0.0
가장 아끼는 물건이 뭐야?,그런거 없어,0.0
가장 아끼는 물건이 뭐야?,음 생각 안나,0.0
SNS 뭐해?,페이스북,0.0
SNS 뭐해?,인스타그램,0.0
SNS 뭐해?,트위터,0.0
SNS 뭐해?,블로그,0.0
SNS 뭐해?,나 SNS안해,0.0
돈 어디다 제일 많이 써?,먹는데 많이써 꿀꿀,0.0
돈 어디다 제일 많이 써?,옷 사는데 많이써,0.0
돈 어디다 제일 많이 써?,음 생각 안나,0.0
돈 어디다 제일 많이 써?,그냥 다 저금해,0.0
돈 어디다 제일 많이 써?,비밀이야!,0.0
물냉?비냉?,물냉면 좋아,0.0
물냉?비냉?,비빔냉면 좋아,0.0
물냉?비냉?,둘다 좋아,0.0
물냉?비냉?,나 냉면 싫어해,0.0
물냉?비냉?,둘다 먹으면 안돼?,0.0
김찌?참찌?,김치찌개가 더 좋아,0.0
김찌?참찌?,참치찌개가 더 좋아,0.0
김찌?참찌?,둘다 좋아,0.0
김찌?참찌?,음 둘다 별로,0.0
무슨 음식 잘해?,계란후라이 반숙은 진짜 잘해,0.0
무슨 음식 잘해?,라면은 진짜 잘 끓여,0.0
무슨 음식 잘해?,김치볶음밥 잘 만들어,0.0
무슨 음식 잘해?,된장찌개 잘끓여,0.0
무슨 음식 잘해?,음식 잘 못해,0.0
좋아하는 동물이 뭐야?,강아지 귀여워서 좋아해,0.0
좋아하는 동물이 뭐야?,고양이가 애교많아서 좋아,0.0
좋아하는 동물이 뭐야?,동물 싫어해,0.0
좋아하는 동물이 뭐야?,알레르기 때문에 동물 안좋아해,0.0
좋아하는 동물이 뭐야?,고슴도치 좋아,0.0
별명이 뭐야?,김쿠키,0.0
별명이 뭐야?,김태우지말고구워,0.0
별명이 뭐야?,재성초이,0.0
별명이 뭐야?,초코누나,0.0
별명이 뭐야?,화이트해커,0.0
싫어하는 색깔이 뭐야?,빨간색!,0.0
싫어하는 색깔이 뭐야?,노란색!,0.0
싫어하는 색깔이 뭐야?,주황색!,0.0
싫어하는 색깔이 뭐야?,초록색!,0.0
싫어하는 색깔이 뭐야?,파란색!,0.0
싫어하는 색깔이 뭐야?,남색!,0.0
싫어하는 색깔이 뭐야?,보라색!,0.0
싫어하는 색깔이 뭐야?,흰색!,0.0
싫어하는 색깔이 뭐야?,검은색!,0.0
싫어하는 색깔이 뭐야?,싫어하는색 없어!,0.0
가족관계가 어떻게 돼?,외동이야,0.0
가족관계가 어떻게 돼?,형이랑 누나있어,0.0
가족관계가 어떻게 돼?,언니랑 오빠있어,0.0
가족관계가 어떻게 돼?,여동생 있어,0.0
가족관계가 어떻게 돼?,남동생 있어,0.0
혈액형이 뭐야?,A형,0.0
혈액형이 뭐야?,AB형,0.0
혈액형이 뭐야?,O형,0.0
혈액형이 뭐야?,B형,0.0
혈액형이 뭐야?,왜?,0.0
발 사이즈가 어떻게 돼?,240이야,0.0
발 사이즈가 어떻게 돼?,250이야,0.0
발 사이즈가 어떻게 돼?,260이야,0.0
발 사이즈가 어떻게 돼?,270이야,0.0
발 사이즈가 어떻게 돼?,요즘 안재봐서 몰라,0.0
요즘 가장 갖고싶은 물건은?,아이패드 하나 있으면 좋겠다,0.0
요즘 가장 갖고싶은 물건은?,애플펜슬,0.0
요즘 가장 갖고싶은 물건은?,음 딱히 없어,0.0
요즘 가장 갖고싶은 물건은?,새로운 지갑,0.0
요즘 가장 갖고싶은 물건은?,컴퓨터 갖고싶어,0.0
가장 좋아하는 꽃?,장미 좋아해,0.0
가장 좋아하는 꽃?,벚꽃이 볼때 제일 예쁜것 같아,0.0
가장 좋아하는 꽃?,튤립이 만두같이 생겨서 좋아,0.0
가장 좋아하는 꽃?,안개꽃만 받아도 좋을것 같아,0.0
가장 좋아하는 꽃?,핑크뮬리,0.0
요즘 고민 있어?,연애 고민이 조금 있어,0.0
요즘 고민 있어?,아무 고민 없어,0.0
요즘 고민 있어?,비밀이야,0.0
요즘 고민 있어?,성적 고민,0.0
요즘 고민 있어?,취업 고민떄문에 막막해,0.0
약속시간에 늦는거 어떻게 생각해?,너무 화나,0.0
약속시간에 늦는거 어떻게 생각해?,음 난 괜찮아,0.0
약속시간에 늦는거 어떻게 생각해?,너무 늦지만 않으면 괜찮아,0.0
약속시간에 늦는거 어떻게 생각해?,좀 별로다,0.0
약속시간에 늦는거 어떻게 생각해?,흠 왜 늦은지 들어봐야할거 같아,0.0
백만원이 생기면 어떻게 쓸꺼야?,아이패드 살꺼야,0.0
백만원이 생기면 어떻게 쓸꺼야?,저금할꺼야,0.0
백만원이 생기면 어떻게 쓸꺼야?,요즘 백만원가지고 뭐해!,0.0
백만원이 생기면 어떻게 쓸꺼야?,오 상상만해도 좋은데?,0.0
백만원이 생기면 어떻게 쓸꺼야?,흠 고민좀 해볼게,0.0
남들보다 잘하는게 뭐야?,음 딱히 없어,0.0
남들보다 잘하는게 뭐야?,줄넘기 잘해,0.0
남들보다 잘하는게 뭐야?,나 잘하는거 없어,0.0
남들보다 잘하는게 뭐야?,난 뭐든 잘하지!,0.0
남들보다 잘하는게 뭐야?,음 나 뭐잘하지,0.0
남들보다 못하는게 뭐야?,나는 다 잘해!,0.0
남들보다 못하는게 뭐야?,나는 다 잘 못해,0.0
남들보다 못하는게 뭐야?,음 그런거 없어,0.0
주량이 어떻게 돼?,소주 두병,0.0
주량이 어떻게 돼?,소주 한잔,0.0
주량이 어떻게 돼?,술 안 마셔,0.0
주량이 어떻게 돼?,음 모르겠어,0.0
주량이 어떻게 돼?,주는데로 마시지,0.0
종교가 뭐야?,기독교야,0.0
종교가 뭐야?,불교야,0.0
종교가 뭐야?,천주교야,0.0
종교가 뭐야?,무교야,0.0
가장 자주 쓰는말이 뭐야?,이런,0.0
가장 자주 쓰는말이 뭐야?,사랑해,0.0
가장 자주 쓰는말이 뭐야?,고마워,0.0
가장 자주 쓰는말이 뭐야?,나도,0.0
가장 자주 쓰는말이 뭐야?,진짜?,0.0
안녕,안녕,1.0
안녕,갑자기 뭐야!,1.0
